Cable Name,Q (mm2),Max I (kA),R (Ohm/km),X (j Ohm/km),C (nF/km),Alpha
3Cx1C_300mm2_EPR,300,,,,,0.00393
3C_300mm2_XLPE_SWA,300,0.521,0.06,0.086,0.503,0.00393
3C_70mm2_XLPE_SWA,70,0.245,0.268,0.106,290,0.00393
3C_70mm2_PILC_SWA,70,,,,,0.00393
3x1C_70mm2_XLPE,70,,,,,0.00393
3C_0.06inch2_PILC_SWA,39.4,,,,,0.00393
3C_35mm2_XLPE,35,,,,,0.00393
6x1C_35mm2_XLPE,35,,,,,0.00393
