n,wMAPE_MA,wMAPE_Lin,wMAPE_Quad,AvgError_MA,AvgError_Lin,AvgError_Quad
2,0.17708261637438463,0.3114650764211117,nan,0.19261685757350827,0.33878776749768674,nan
3,0.17891593145019602,0.24816154431119256,0.5613007451377261,0.19461420951217612,0.26993550762072355,0.6105498818811569
4,0.18445310105555565,0.22426562109542852,0.3991439424846299,0.20064052865628873,0.24394695734860453,0.4341724328394494
5,0.19162951955074276,0.21315615223236756,0.33065781817561934,0.20845018401821305,0.23186635995132304,0.35968196970570565
6,0.19820983704263004,0.20864045747374288,0.29161105802598775,0.2156116615771858,0.22695803790234156,0.3172130389358127
7,0.20511184794490514,0.2056722885953007,0.27209957394748846,0.22312331784920378,0.22373297242853185,0.29599343154875246
8,0.21179850672267955,0.20513461001480693,0.2583003165011057,0.230400955462847,0.22315176285824495,0.28098706000856727
9,0.21862738629785747,0.20504076558445,0.24995816991965075,0.23783354811465865,0.2230533585607506,0.2719167046677519
10,0.2255674276001693,0.2053894451840949,0.24408005340141256,0.24538731534838562,0.22343635821372468,0.2655265863138245
11,0.23245041244364692,0.2060985512530228,0.23946569242725832,0.25287926116517356,0.22421147297689203,0.26051107734683593
12,0.23915823608576772,0.20750360751321933,0.23581338623463988,0.26018089603194455,0.2257437394432389,0.2565420247741443
13,0.24604248043870466,0.20904030618266578,0.23346608599424873,0.26767470375651237,0.22741927300865422,0.25399258410285935
14,0.25291030391137764,0.2109819767314413,0.23159333739349303,0.27515089403821213,0.22953544646384572,0.2519593423107093
15,0.2597562047167581,0.2132265655731446,0.2298087519384111,0.2826034802987803,0.23198125176194395,0.2500219510511066
16,0.2666761298531822,0.2156057945384669,0.2285225287390175,0.2901368492637908,0.23457362286173628,0.24862670127482306
17,0.27378893547573857,0.21808869462257238,0.22779817958319246,0.29788031954512295,0.2372788729773453,0.24784272018929446
18,0.2810486393900383,0.22042137872656375,0.2275317865975827,0.30578387244010174,0.23982077586953368,0.2475569743373403
19,0.2884713081952634,0.222778910859737,0.22745463358233328,0.31386499679634255,0.24238979807293404,0.2474771175243158
20,0.29585220170063714,0.2254123993561203,0.22733554915319312,0.3219009345750856,0.24525915845969928,0.2473516347483584
21,0.30325511878768224,0.22813751902442397,0.22745400790207987,0.3299611008299341,0.2482283142287614,0.2474846101051207
22,0.31064335541584076,0.23112869054883042,0.22798660727966238,0.33800555974159596,0.25148705439625374,0.24806820897228415
23,0.31801526432822164,0.2345536230314485,0.22838172264652218,0.3460325181511049,0.25521787764020504,0.24850223071525449
