n,wMAPE_MA,wMAPE_Lin,wMAPE_Quad,AvgError_MA,AvgError_Lin,AvgError_Quad
2,0.20078214342617196,0.3608153275013057,nan,0.02018662593072393,0.036276353673944585,nan
3,0.19990596319098897,0.2867701056163383,0.6483224127947006,0.020098856146649906,0.028832311992793184,0.06518334272480136
4,0.19964498065332606,0.259598474428799,0.4545682123284683,0.020072937477339715,0.026100851267934284,0.04570372505933299
5,0.20112139675589355,0.24244148747364166,0.3824617082818202,0.020221704323718087,0.02437622328888636,0.038454524007736746
6,0.1997570342689909,0.2369038256067226,0.33213668244301275,0.020084845934196707,0.023819821194008568,0.03339513985264774
7,0.19606652383280831,0.23488344161664948,0.30505216146257963,0.01971409368173379,0.023617056506123738,0.03067237981949866
8,0.19436906734211226,0.22986066473612066,0.29676406656093407,0.01954373033353539,0.02311239595538567,0.0298395056829788
9,0.1968970903402599,0.21983024362495293,0.2913281176279481,0.01979823856748639,0.02210419463342148,0.02929339161004106
10,0.20263808763980118,0.20830424761289518,0.28227742913497106,0.020375828525312775,0.020945576815742762,0.028383787863435293
11,0.20731200549163026,0.20284117840278743,0.266844257707334,0.020846137404727544,0.02039657600288886,0.02683236819130659
12,0.2123366092510879,0.19908655434012285,0.25508877277860376,0.02135172490473706,0.020019352082031542,0.025650712431859277
13,0.21686427649768542,0.1977865287646591,0.24278008828619016,0.021807357815403418,0.019888944705393014,0.024413390445008194
14,0.21997404582949198,0.2006588002728122,0.230274651028305,0.022120422562955933,0.020178096176177614,0.023156243578988638
15,0.22179268604954636,0.20475305961655968,0.22142246761470807,0.022303660286222615,0.020590141025805857,0.022266430806976167
16,0.22419182944151134,0.20723124351150773,0.2189140313056008,0.022545280693746683,0.020839682539367632,0.022014532357754937
17,0.2281777116143359,0.20613517103071632,0.22170669610032612,0.022946477727374688,0.020729790291172893,0.022295726116644574
18,0.23290992312615502,0.2041563759970919,0.2239243685917818,0.023422742703300442,0.020531122942443428,0.022519104382183786
19,0.23781964110319712,0.20253207755908387,0.22427800411213808,0.023916874254160017,0.02036809999773106,0.022555028665594647
20,0.24264681179203598,0.20176640323290357,0.2230516002269388,0.024402719920448995,0.020291422710588883,0.022432051292769498
21,0.2466880229398802,0.20282898848588893,0.21974756399739193,0.024809536785589545,0.02039861194335703,0.022100121471505887
22,0.249905503531228,0.2060338629288053,0.21458697378091782,0.02513352234745135,0.020721259136278942,0.02158146349234244
23,0.2526888085877639,0.20953976434705085,0.2108581711689344,0.025413851626727237,0.021074192049806654,0.021206789118676697
24,0.2559978665213799,0.21147803608656965,0.21095363936691014,0.025747067637120372,0.021269471393940524,0.021216730025454846
25,0.2599456124817543,0.21209757327422415,0.21277372263759853,0.02614453158674537,0.021332122712127866,0.021400127739100005
26,0.26415676201822125,0.21244434338303259,0.21476719740146744,0.026568500996788924,0.021367341520278603,0.02160097078205719
27,0.2683077794169232,0.21288129079016277,0.2162828022105105,0.026986435869395527,0.02141163150091098,0.021753756019267143
28,0.2723523383241035,0.2139490998028416,0.2167184540171744,0.02739367632902292,0.021519376066125032,0.02179792257486676
29,0.275937104347947,0.21631960690654117,0.2155901423738823,0.027754682300655673,0.02175815383466182,0.021684781837802657
30,0.27908374280207215,0.21949405677015932,0.2137302851010098,0.028071630770771516,0.022077803802425276,0.02149805498395635
31,0.282169080278875,0.222496219919674,0.21288458054576048,0.02838242332421332,0.022380134264024153,0.021413332312228195
32,0.2853296512652748,0.22502032017765544,0.21305084287619888,0.02870079342261762,0.02263438691587577,0.02143039884845119
33,0.2888215037760079,0.2266442377814917,0.21448962196749774,0.029052497248147808,0.022798098508489024,0.0215754681368869
34,0.2924901185749406,0.2277695254599311,0.216550260137995,0.029421993092736205,0.022911657451774505,0.02178309574714017
35,0.2961330467821116,0.2290294548203424,0.21810260127939324,0.029788916866381267,0.02303876404113619,0.021939598867645925
36,0.29951985279509796,0.23080651497179225,0.21862006062584768,0.030130087862187196,0.0232178952759526,0.02199200344692911
37,0.3025446713105355,0.23331084180265227,0.21810450678309992,0.03043485519324243,0.023470192532291687,0.02194049246408275
38,0.305265309391804,0.23618442859003144,0.21719805390588406,0.03070903237855545,0.02375964461645647,0.02184965623261903
39,0.30790393063314936,0.2389137971239114,0.21698401561040725,0.03097496748649099,0.024034597683666392,0.02182847362422414
40,0.31052231858548773,0.24141307974694506,0.21734996065298876,0.03123887561245248,0.024286412660408162,0.021865637278954273
41,0.3132784595264694,0.24324331098817387,0.21878064433401834,0.03151665050102905,0.024470927336386773,0.022009917676075005
42,0.3160046204751596,0.2449790815580919,0.22050371771448782,0.03179141816150359,0.02464594476790763,0.022183618345474453
43,0.318535389096101,0.24688963169084632,0.22212968915893813,0.03204653699397,0.02483855165311424,0.022347555545683444
44,0.3207721644848469,0.2492570211991046,0.2230169901229255,0.03227208606473419,0.02507712616927161,0.022437182199719945
45,0.3228917476434876,0.25173709689421914,0.22368084565813298,0.03248585174626489,0.02532704557618525,0.02250433107554166
46,0.32487942832422667,0.2543943628599304,0.22427125251771882,0.03268635346437013,0.025594800220727913,0.02256409237575752
47,0.32672046597982907,0.2568795469887291,0.22515872312584437,0.03287210750161011,0.02584524987822383,0.022653743864257857
48,0.3285820725088074,0.2592601599739323,0.22670856827106234,0.033059936998090324,0.02608518623493453,0.022810042333541128
