n,wMAPE_MA,wMAPE_Lin,wMAPE_Quad,AvgError_MA,AvgError_Lin,AvgError_Quad
2,0.10367125417224049,0.17858360366209167,nan,0.8544128736760462,1.4718075055101372,nan
3,0.1061658062266747,0.14130271959450771,0.3212327814742661,0.8749828017242597,1.1645694021112718,2.6474923436262285
4,0.1095345195349044,0.12777543640984582,0.2239172395023614,0.9027578851940842,1.0530952547461165,1.8454735041516641
5,0.11372931698995155,0.1216446924970529,0.18621266827096267,0.9373421133462299,1.002579600056983,1.5347403873388767
6,0.11749902837171607,0.11930664980785827,0.16494338821696297,0.9684236381157323,0.983322002398261,1.3594586977764171
7,0.12126196245530396,0.1177824430277886,0.1531682354963799,0.999450060710447,0.9707716043119301,1.2624239222764846
8,0.12513994795528086,0.11677470878111224,0.14627240940365255,1.0314255840993933,0.9624778032961665,1.2056030689792314
9,0.12914197518552825,0.11581335229828288,0.1415177772842611,1.0644242836562712,0.9545660454769412,1.1664291063693375
10,0.13316709728957649,0.11548190617521228,0.137738871828387,1.097614194841858,0.9518460794386489,1.1352965107558475
11,0.1372722582477952,0.11545607862081039,0.13448188996664673,1.1314645844946882,0.9516450424256027,1.1084650146754416
12,0.1413385154226469,0.1160767403636478,0.1314290932396032,1.1649951771503178,0.9567727685450996,1.0833158909552512
13,0.14543081572663766,0.11700635827733157,0.1290362119982988,1.198741261617103,0.9644472448138747,1.0636056106285054
14,0.14954509221244572,0.11790846171675462,0.12740732765356771,1.232669306908095,0.9718950962062707,1.0501922861542403
15,0.15368797028811385,0.11905852589109737,0.12656122305854053,1.2668340038424117,0.9813870842554752,1.0432310390844113
16,0.1575637019753124,0.12073905898641074,0.12537987296251282,1.2987974638791884,0.9952519624556702,1.0335061881874323
17,0.16140324387168029,0.12243222239778,0.12478907754656154,1.3304634004657527,1.009221295870806,1.028649093233713
18,0.1652134428130694,0.12431956226734624,0.12427541903869785,1.3618881497241466,1.0247915408575854,1.0244276592087127
19,0.16903446527294735,0.1260777726442721,0.12434162672776658,1.3934029485676884,1.039297754263916,1.0249861709113888
20,0.1728520464723303,0.12808110817966853,0.12446588451760436,1.424890119771726,1.0558249630202539,1.0260231956592638
21,0.17672792415133176,0.12989422394418226,0.12510848338546504,1.4568587588345319,1.070784590402657,1.0313332808036937
22,0.18059949472016637,0.13180964979416293,0.1258876568999086,1.4887926971768195,1.086588001450648,1.0377693722105177
23,0.1844799915006062,0.13370029050485616,0.12662195284985253,1.5208009760453787,1.1021874548203716,1.043835637222447
24,0.18837818409410245,0.13557227932157412,0.1273712719500936,1.5529559259515013,1.1176335284239616,1.0500258961625188
25,0.19227269678822143,0.13747496125937864,0.12804114023283517,1.5850813582968664,1.133333031495587,1.055561334856027
26,0.19616035055454556,0.1396012033746754,0.1285773882429038,1.6171509431754942,1.1508758883616168,1.0599952746833794
27,0.19998623193631548,0.1418108183539845,0.12901234556527907,1.6487121418081505,1.169106571968505,1.0635943210548573
28,0.2037129871255631,0.14412483243227753,0.12952632786921361,1.6794568229182822,1.1881983402027576,1.0678449035427333
29,0.20743107332767716,0.1464721345861589,0.1301803477767925,1.7101309539570837,1.207565131055679,1.0732502067243743
30,0.21104414638787303,0.14898905536706908,0.13067409680667963,1.7399400381392656,1.2283307882004715,1.0773342775580235
31,0.21455569522281315,0.151590901812067,0.13122870653364269,1.7689128261348115,1.2497971226642914,1.081920206794671
32,0.21793473231729618,0.15428949416963178,0.13178045034064345,1.7967938473423537,1.2720616438041483,1.086482635669719
33,0.22118374600550453,0.15710749880670566,0.13241105476845047,1.823603604290682,1.2953112796899304,1.0916953939177354
