sample,reading_set,simulated_nodes,real_nodes,exec_time
1,84,26,11,0.05113649999839254
1,85,21,16,0.051408499988610856
1,86,36,1,0.05039489999762736
1,87,29,8,0.04990019999968354
1,88,36,1,0.05014120000123512
1,89,31,6,0.05121069999586325
1,90,22,15,0.05169200000818819
1,91,25,12,0.05062280000129249
1,92,33,4,0.05016480000631418
1,93,33,4,0.05138520000036806
1,94,27,10,0.050008500009425916
1,95,23,14,0.07703119999496266
1,96,30,7,0.052813400005106814
1,97,21,16,0.055786700002499856
1,98,31,6,0.054809599998407066
1,99,33,4,0.055796999993617646
2,0,33,4,0.05769750000035856
2,1,33,4,0.06367249999311753
2,2,34,3,0.057766800004174
2,3,34,3,0.06070989998988807
2,4,25,12,0.057306200003949925
2,5,24,13,0.05452609999338165
2,6,30,7,0.0556259000004502
2,7,30,7,0.05571169999893755
2,8,22,15,0.053462399999261834
2,9,29,8,0.05655529999057762
2,10,24,13,0.05322810000507161
2,11,35,2,0.05432590001146309
2,12,30,7,0.05657899999641813
2,13,27,10,0.05498890001035761
2,14,22,15,0.05415659998834599
2,15,26,11,0.052244200007407926
2,16,26,11,0.05249889999686275
2,17,33,4,0.05259819999628235
2,18,31,6,0.058784000008017756
2,19,33,4,0.05505159999302123
2,20,36,1,0.05637669999850914
2,21,29,8,0.056575100010377355
2,22,32,5,0.05363200001011137
2,23,27,10,0.052254200010793284
2,24,34,3,0.05103719999897294
2,25,26,11,0.05127940000966191
2,26,27,10,0.05631349999748636
2,27,28,9,0.0655756000051042
2,28,35,2,0.05284040000697132
2,29,35,2,0.050980599989998154
2,30,35,2,0.05021570000099018
2,31,28,9,0.057902000000467524
2,32,33,4,0.05315229999541771
2,33,33,4,0.05379160000302363
2,34,31,6,0.0532837000064319
2,35,25,12,0.0521386999898823
2,36,36,1,0.050737400000798516
2,37,30,7,0.051040000005741604
2,38,30,7,0.05101210001157597
2,39,36,1,0.052443599997786805
2,40,34,3,0.05335380000178702
2,41,27,10,0.05642210000951309
2,42,27,10,0.05650890000106301
2,43,25,12,0.05463709999457933
2,44,26,11,0.053014200006145984
2,45,36,1,0.050549299994600005
2,46,26,11,0.05178409999643918
2,47,25,12,0.05443010000453796
2,48,28,9,0.053813299993635155
2,49,36,1,0.0530989000108093
2,50,26,11,0.054959300003247336
2,51,30,7,0.051863000000594184
2,52,35,2,0.0502357000077609
2,53,29,8,0.05622949999815319
2,54,26,11,0.052731899995706044
2,55,26,11,0.055162600008770823
2,56,25,12,0.05294169999251608
2,57,23,14,0.05223169999953825
2,58,22,15,0.05240459999185987
2,59,22,15,0.050275799992959946
2,60,25,12,0.052182300001732074
2,61,30,7,0.05326779998722486
2,62,27,10,0.05906049998884555
2,63,26,11,0.05440039999666624
2,64,23,14,0.053791099999216385
2,65,23,14,0.05219629999191966
2,66,27,10,0.05138299999816809
2,67,29,8,0.05052810000779573
2,68,30,7,0.05509279998659622
2,69,28,9,0.05322030000388622
2,70,30,7,0.051819200001773424
2,71,23,14,0.051867999995010905
2,72,30,7,0.051621399994473904
2,73,22,15,0.05115619998832699
2,74,36,1,0.05079160000605043
2,75,34,3,0.05215879999741446
2,76,33,4,0.049863300009747036
2,77,31,6,0.05069089999597054
2,78,34,3,0.049789500000770204
2,79,21,16,0.049799100001109764
2,80,25,12,0.05329960001108702
2,81,34,3,0.054507499997271225
2,82,26,11,0.06626239999604877
2,83,24,13,0.0607696999941254
2,84,34,3,0.05510699999285862
2,85,34,3,0.05360820000350941
2,86,29,8,0.055783299991162494
2,87,35,2,0.05855940000037663
2,88,30,7,0.05315699998755008
2,89,29,8,0.04953770000429358
2,90,31,6,0.05294620001222938
2,91,23,14,0.052452300005825236
2,92,36,1,0.05023419999633916
2,93,25,12,0.05278510000789538
2,94,31,6,0.050446300010662526
2,95,21,16,0.051364200000534765
2,96,26,11,0.05431400000816211
2,97,28,9,0.0517212999984622
2,98,22,15,0.05364819998794701
2,99,31,6,0.04961019998881966
3,0,21,16,0.0526906000013696
3,1,21,16,0.051396199996815994
3,2,34,3,0.051378200005274266
3,3,21,16,0.05462949999491684
3,4,22,15,0.05604569999559317
3,5,31,6,0.053529600001638755
3,6,30,7,0.05581160000292584
3,7,32,5,0.05178709999017883
3,8,21,16,0.051410000000032596
3,9,31,6,0.051690799999050796
3,10,27,10,0.05307280000124592
3,11,21,16,0.04921990000002552
3,12,27,10,0.05115719999594148
3,13,28,9,0.050328800003626384
3,14,23,14,0.05044540000380948
3,15,21,16,0.0511112999956822
3,16,36,1,0.05276679999951739
3,17,30,7,0.05109219999576453
3,18,31,6,0.05108900000050198
3,19,31,6,0.055790700003854
3,20,26,11,0.051327900000615045
3,21,21,16,0.04972999999881722
3,22,28,9,0.06436270000995137
3,23,33,4,0.05701260000932962
3,24,28,9,0.05502580000029411
3,25,32,5,0.057551399993826635
3,26,33,4,0.05245950000244193
3,27,27,10,0.05175849999068305
3,28,24,13,0.05136029999994207
3,29,25,12,0.05004140001256019
3,30,30,7,0.05017339999903925
3,31,36,1,0.051435499990475364
3,32,29,8,0.050759799996740185
3,33,21,16,0.05174730000726413
3,34,33,4,0.05029100000683684
3,35,35,2,0.05098339999676682
3,36,23,14,0.05383229999279138
3,37,34,3,0.050587699995958246
3,38,28,9,0.052087999996729195
3,39,31,6,0.05043279999517836
3,40,36,1,0.0525329999945825
3,41,25,12,0.05286319999140687
3,42,33,4,0.05174779999651946
3,43,34,3,0.05244499999389518
3,44,24,13,0.07255779999832157
3,45,35,2,0.05357920000096783
3,46,33,4,0.05395950000092853
3,47,23,14,0.051339800003916025
3,48,36,1,0.05214890000934247
3,49,28,9,0.05303520000597928
3,50,31,6,0.05161979999684263
3,51,27,10,0.05090790000394918
3,52,34,3,0.05053730000508949
3,53,35,2,0.05087459999776911
3,54,30,7,0.05026829999405891
3,55,29,8,0.051559199986513704
3,56,28,9,0.05031550000421703
3,57,29,8,0.051773300001514144
3,58,27,10,0.050637700012885034
3,59,31,6,0.050991600000998005
3,60,22,15,0.05160459999751765
3,61,35,2,0.052574100001947954
3,62,36,1,0.055869100004201755
3,63,32,5,0.062165199997252785
3,64,27,10,0.05358700000215322
3,65,32,5,0.05204520000552293
3,66,25,12,0.053865900001255795
3,67,36,1,0.05468190000101458
