n,wMAPE_MA,wMAPE_Lin,wMAPE_Quad,AvgError_MA,AvgError_Lin,AvgError_Quad
2,0.1336313687782099,0.2171432356612947,nan,2.571862555106711,4.179127715281318,nan
3,0.14284137374907707,0.176427624771889,0.3922759434999969,2.7490395144550743,3.3954203828322362,7.549507827794901
4,0.15360287610519965,0.16474357432790132,0.2760311977419406,2.956060641590993,3.1704614416998242,5.312172403186826
5,0.1658718183729532,0.15722407144488124,0.23618330246947172,3.192085753481628,3.025665984050121,4.545180503947315
6,0.1781590569142111,0.15538246956593804,0.21400615495174805,3.4284583620516895,2.99015012947728,4.118292969120058
7,0.19041701845822684,0.15576924298093867,0.20069195312347018,3.6642559938977963,2.997517695000772,3.8619798698352974
8,0.20270936624431315,0.15728893230026947,0.19225599346011615,3.9006883898067093,3.026673722265547,3.699536609752864
9,0.21467399159981004,0.15976741394930494,0.1862508002925633,4.13084558060437,3.074310543716864,3.583914798150352
10,0.22659526099982397,0.16339086821579568,0.18284816252849775,4.360174433109603,3.1439875796813355,3.5183872772981095
11,0.23820992051196596,0.16743298770629192,0.18100047462881955,4.583576053564416,3.221703912993632,3.4827661224578637
12,0.24954555561233016,0.17229227271566122,0.17999929227609632,4.801566591722963,3.3151174287740415,3.4634100623669393
13,0.26059451962221997,0.17768873632952287,0.17974203596098703,5.014019912057963,3.418854945208467,3.4583618590626344
14,0.2713423209235842,0.18373571208383252,0.1800482838323446,5.220712824231435,3.535133719946011,3.464186423942002
15,0.28191682880689706,0.19011791717908377,0.18117073087799507,5.424058144787283,3.6578541320480773,3.4857109544494844
16,0.29222670702728376,0.19656893546786863,0.1831801795897072,5.622311930142461,3.781898931206202,3.524305220250417
17,0.3023273402181599,0.20310384026003847,0.18586126907071074,5.8164850910438375,3.9075210927129964,3.5757907299160885
18,0.3122325239600485,0.20968137959376293,0.18896058934777177,6.006967751636746,4.034010516789074,3.635368129322703
19,0.32198060276329094,0.21624147245114847,0.19243855402781934,6.194426691037581,4.160163491728717,3.702230833858458
20,0.3315870866597337,0.22267908533612915,0.19632993118562841,6.379166490469411,4.283963448680091,3.7770509422181693
21,0.341107616628901,0.22901980649603773,0.20041232256134198,6.562335195001606,4.405954787448985,3.8555950490167974
22,0.3505141396525144,0.23551441167611895,0.20460003123063414,6.743289425893473,4.530892372774272,3.9361528425152197
23,0.3598355157059627,0.24197606742334374,0.209166076304721,6.922604177936072,4.655195116076953,4.023988435018142
24,0.36903503849843355,0.24832701794705145,0.21383524482622765,7.099581378782145,4.7773725758911265,4.113811871286687
25,0.3780704201350652,0.25455029266038415,0.2185037738914305,7.273419485326641,4.89710635910154,4.203633825866552
26,0.387012188541806,0.2607174319734411,0.22296383562269123,7.445480636739542,5.015776373174954,4.289459014396377
27,0.39583101971310136,0.26685032284879534,0.22752972324100917,7.615179209287932,5.133789241739529,4.377321462011224
28,0.40449168210804753,0.2729752014005816,0.23198383199757378,7.781810658159033,5.251631679053194,4.463019479043493
29,0.41297700114139785,0.27914858323285835,0.2364742696113963,7.945082689772762,5.3704166827406175,4.549424352623652
30,0.4212792601452679,0.2852543416804753,0.24103550008111446,8.10487058942328,5.487926283373533,4.637212700527159
31,0.42940972277115014,0.29141650938174485,0.2455167925961626,8.261356987957033,5.606523766277024,4.723465172343208
32,0.43736930553122355,0.29761210216950607,0.24990751492744417,8.414560056108986,5.725767390303035,4.807977528911976
33,0.4451641048458767,0.3038121218865235,0.25427748148600116,8.564591973431288,5.845095847162517,4.892090025347659
34,0.4528134086856918,0.31011927031724856,0.25839221838850757,8.711830070605009,5.966489359194812,4.971295140532952
35,0.46027868489363044,0.3165362559876786,0.26228956443380796,8.855527976626274,6.089996696595369,5.046317920104188
36,0.46754380201774304,0.32313926106670415,0.2660752071016521,8.99536454015914,6.217076214010814,5.1191855664614065
37,0.4745658643725486,0.33001662108494223,0.2694666137002321,9.130541824757595,6.349446489720128,5.184477796393495
38,0.48133726945298566,0.3370311779193571,0.2727214697619518,9.260896614381371,6.484457141831992,5.247142692394893
39,0.48786801278502945,0.34407908432163536,0.2760475178973695,9.386623200971725,6.620111651562004,5.311178368252434
40,0.4941604304507011,0.3511822278365123,0.27946548531950977,9.507751563417665,6.756820599155978,5.376975251831521
41,0.5002157887865986,0.3584461926395847,0.2827749384829847,9.624334764223835,6.896635872476548,5.440693260592116
42,0.5060334688322553,0.36574093124110973,0.2861191121627774,9.736350047765697,7.0370478489826125,5.505082179250369
43,0.511651769253375,0.37297986096026964,0.28968442015788226,9.84448504169406,7.176354862281765,5.573700927913404
44,0.5170815583222055,0.3801869267741801,0.2936270304036951,9.949037423945049,7.315081927973127,5.649604529790379
45,0.5223358407656001,0.38733391048544025,0.29804299607550766,10.050205486591436,7.4526484466352185,5.734611950058376
46,0.5274259723218228,0.3944151495571154,0.3027655220069532,10.148227329365053,7.588959986613601,5.825525298450134
47,0.5323437965298674,0.4013851499485352,0.3077866300070284,10.24293599213482,7.7231338580754825,5.922185570579851
48,0.5371155619446701,0.40822982356214144,0.31316855446277475,10.334834220585916,7.85489724993013,6.025789090442947
49,0.5417572061393912,0.4149840984206565,0.31888689989220176,10.424231790058966,7.984924578949557,6.135868469526774
50,0.5462663706681581,0.4216268532541019,0.3249305157852731,10.511080233445151,8.112807086601704,6.252207540318227
51,0.5506382447664936,0.4280777533696859,0.33117431887369525,10.595289103407806,8.237000605747145,6.3724009101093015
52,0.554879342616963,0.4343814468226927,0.3375614223652692,10.676977549721036,8.358359375693704,6.495350342739011
53,0.5589710832439279,0.4405080857165898,0.343950711930663,10.755799782628836,8.47631821149001,6.618347716932688
54,0.5629332739601456,0.44646830936356247,0.3503172824472394,10.83212390613061,8.591071572594839,6.7409058683500485
55,0.5667554065349596,0.4522416577114685,0.3566092426918467,10.905760968052215,8.702236206180274,6.862034512511509
56,0.5704209639760637,0.4578105511367319,0.36280007761484306,10.976386228369147,8.809468350658678,6.981219182102011
57,0.5738835766530445,0.4633066963027176,0.3686767956599037,11.043108218188648,8.915303022472758,7.094361849056298
58,0.5771347963009626,0.4686819531314523,0.37428296990578647,11.105753180121736,9.018804835224284,7.202293658150963
59,0.5801711228177646,0.47395771425684524,0.3796658759195651,11.164270729051573,9.12039918565194,7.305935195054327
60,0.5829729316925597,0.47906536093632723,0.3848131679136635,11.218277997102515,9.21876146489791,7.405045517409633
61,0.5854713028711394,0.484108114956658,0.3895653465196103,11.266446694908936,9.315876363170803,7.496553954435183
62,0.5876607658438616,0.48908691063614684,0.39396183486876013,11.308670145512563,9.411760774823398,7.581218109829323
63,0.5895372360514217,0.49403462926590225,0.39804737747187097,11.344872485507276,9.507049817558427,7.659900790753474
64,0.5911098958543867,0.49890617860391545,0.4019319233443269,11.375223230950192,9.600869809017404,7.734712925214109
65,0.5923915445234692,0.5037074780163313,0.4056664135620851,11.399980448417985,9.693344636995564,7.806642795530941
66,0.5934040407745551,0.508461536690262,0.4092433432712445,11.419557420423398,9.784910980269379,7.875541007964739
67,0.5941471610926766,0.5131617321377878,0.41274735246495703,11.433948228779306,9.875440063474214,7.943035275925238
68,0.5946301581931673,0.5177429573782334,0.41618573802821274,11.443338274765104,9.963685358070606,8.009271174306054
69,0.5948670823612164,0.5222620183510946,0.41960229497301904,11.447976446862317,10.050721350124398,8.07507648739527
70,0.5948672577267523,0.5267123246008478,0.4230639716373944,11.448073578209774,10.136448708949056,8.14176173370641
71,0.5946283131528074,0.5310542947441679,0.4265772057612655,11.44356783386513,10.22009162858112,8.209439548256457
72,0.5941648087606842,0.5353164709764465,0.4301854240979777,11.434739126856057,10.30219916371776,8.278945552155035
73,0.5934806532505115,0.5394728065659216,0.4338481049965308,11.421664422970705,10.382271651428754,8.349501266253688
74,0.5925909390053916,0.5435223638220037,0.437594528093271,11.404587581327933,10.460248364617753,8.421635891236974
