n,wMAPE_MA,wMAPE_Lin,wMAPE_Quad,AvgError_MA,AvgError_Lin,AvgError_Quad
2,0.09130072802994654,0.18698679255467035,nan,14.945096446994992,30.60803248060855,nan
3,0.08180182908259287,0.1409273068106135,0.34007862627578866,13.390254521289258,23.06858573160536,55.667940609071884
4,0.08324917496109004,0.11060040374992233,0.23624165689123386,13.627214418892633,18.104388631127367,38.67084225922953
5,0.08185158204523882,0.10484928767090916,0.16806124516793236,13.398474876514511,17.163022529029117,27.5103341295681
6,0.08217187315002973,0.09793159236669181,0.14816555724913727,13.45094098732806,16.03069297586018,24.253629502566717
7,0.08456667190672404,0.09098553241766336,0.13664555698068798,13.843005958217084,14.89373105232851,22.36797566698546
8,0.08536547917848614,0.09022830380563497,0.12019406385372267,13.973796503174933,14.76981056441299,19.67501858297792
9,0.08743740406913508,0.0873746571448421,0.11507765576612712,14.312983136716745,14.302711838308005,18.837527988493015
10,0.0894646314436465,0.08580097469714332,0.10933887119978784,14.644882185384485,14.045161149770212,17.898189051529712
11,0.09115861957356163,0.08555739229678845,0.10393320887122758,14.922224613001449,14.005330830235954,17.013363023503477
12,0.09357053271534177,0.08415620564310514,0.10201687479854951,15.317088308139667,13.776004005821624,16.699717687442526
13,0.09579541182137884,0.0838070780197577,0.0991762649493443,15.681332490690467,13.71888935507207,16.234764862803168
14,0.09808811654585833,0.08360439647888741,0.09680473078486776,16.056706446209088,13.685768461527882,15.846620360889577
15,0.10051688768353788,0.08326143264550029,0.09524997120157337,16.45435505497973,13.62968160582746,15.592174422089249
16,0.10279810164479142,0.08351895040646862,0.0932989677866866,16.827852403132468,13.671892260821595,15.272862379346389
17,0.10517729647990859,0.08364730475361741,0.09220531810784778,17.217373166830498,13.692944281161823,15.093878840405253
18,0.1076147520105982,0.08380860304598878,0.09130741726827658,17.616454545264283,13.719405736458434,14.946956025077824
19,0.11002396839995736,0.0841587236683179,0.09042398078669034,18.010911780490005,13.77677400290279,14.802395918582878
20,0.11246556596729027,0.08453966034887384,0.08978551678042616,18.4106476524822,13.839168335278066,14.697916642514528
21,0.11489894567574682,0.08505035778775226,0.08916400862865112,18.809072124899423,13.922828486110255,14.59623723593012
22,0.11730785347689834,0.0857204907803438,0.08854478551671735,19.203501667422998,14.032594910253254,14.494936919519542
23,0.11973715823890874,0.08638430157108783,0.08814588732912254,19.601254643118086,14.141313500060757,14.429689235102337
24,0.12214953612768596,0.08716523712280347,0.08779898236707062,19.9962535007825,14.26921651295852,14.372962552125259
25,0.12454327867015653,0.08800271855424266,0.08758602753599692,20.38824694939047,14.406406971615711,14.338192938130359
26,0.12690790330397117,0.0889146777348271,0.08742400166613051,20.775469470411497,14.555785137564264,14.311753880651247
27,0.12923929452374439,0.08988762262768396,0.087292203507857,21.15728051427114,14.715165799248755,14.290279462839615
28,0.13153215634439167,0.09095249354563648,0.08722714943862213,21.532778717748414,14.88959028557074,14.279724131671642
29,0.13378791794278366,0.09207154258534243,0.08718132391506667,21.90222539327757,15.072898278253685,14.272327694708322
30,0.13602405605793955,0.09322937145826461,0.08720339366459536,22.268447269587824,15.262545482476172,14.276034914898094
31,0.13819592052107946,0.09452304921809909,0.08723512032813613,22.624179426850628,15.474454075199146,14.281340629918246
32,0.1403198011286039,0.09580231319432995,0.08729432953246564,22.972034815829353,15.683987979145455,14.291128986181855
33,0.14239891449319,0.09714137968734352,0.08743363807047942,23.312575869253823,15.90332196045993,14.314036931372973
34,0.14441870565715645,0.09851220084466641,0.08759118783943362,23.64342768598601,16.127869906185026,14.339942365413917
