timestamp,node_name,ref_v,verify_v,simulated_v,ref_i,verify_i,simulated_i
2023-12-29 04:45:00,101000,0.9957787581934774,0.9957787581934774,0.9957787581934774,,,
2023-12-29 04:45:00,111101,0.9993750569515037,0.9993750569515037,0.9993750569515037,,,
2023-12-29 04:45:00,111102,0.9990730202772784,0.9990730202772784,0.9990730202772784,,,
2023-12-29 04:45:00,111200,0.99511585743527,0.99511585743527,0.99511585743527,,,
2023-12-29 04:45:00,111401,0.9963848474835015,0.9963848474835015,0.9963848474835015,,,
2023-12-29 04:45:00,111402,0.9963848474835015,0.9963848474835015,0.9963848474835015,,,
2023-12-29 04:45:00,101500,0.9997363295598343,0.9997363295598343,0.9997363295598343,,,
2023-12-29 04:45:00,111600,0.9911961223658452,0.9911961223658452,0.9911961223658452,,,
2023-12-29 04:45:00,101700,0.9995418861581191,0.9995418861581191,0.9995418861581191,,,
2023-12-29 04:45:00,101800,0.9955990778679201,0.9955990778679201,0.9955990778679201,,,
2023-12-29 04:45:00,101901,0.9982658626422978,0.9982658626422978,0.9982658626422978,,,
2023-12-29 04:45:00,101902,0.9969304144201856,0.9969304144201856,0.9969304144201856,,,
2023-12-29 04:45:00,102000,0.9994734979867884,0.9994734979867884,0.9994734979867884,,,
2023-12-29 04:45:00,102101,0.9995194292471157,0.9995194292471157,0.9995194292471157,,,
2023-12-29 04:45:00,102102,0.999217436225815,0.999217436225815,0.999217436225815,,,
2023-12-29 04:45:00,112201,0.9991825337358009,0.9991825337358009,0.9991825337358009,,,
2023-12-29 04:45:00,112202,0.9993423908391038,0.9993423908391038,0.9993423908391038,,,
2023-12-29 04:45:00,102300,0.9998155698154071,0.9998155698154071,0.9998155698154071,,,
2023-12-29 04:45:00,112400,0.991549907784006,0.991549907784006,0.991549907784006,,,
2023-12-29 04:45:00,112501,0.9936789299937842,0.9936789299937842,0.9936789299937842,,,
2023-12-29 04:45:00,112502,0.9981361958612511,0.9981361958612511,0.9981361958612511,,,
2023-12-29 04:45:00,112600,0.999534341731961,0.999534341731961,0.999534341731961,,,
2023-12-29 04:45:00,102701,0.9923421124865677,0.9923421124865677,0.9923421124865677,,,
2023-12-29 04:45:00,102702,0.9948915011190043,0.9948915011190043,0.9948915011190043,,,
2023-12-29 04:45:00,102901,0.9916952570444721,0.9916952570444721,0.9916952570444721,,,
2023-12-29 04:45:00,102902,0.9942457077908574,0.9942457077908574,0.9942457077908574,,,
2023-12-29 04:45:00,113000,0.9910455810690058,0.9910455810690058,0.9910455810690058,,,
2023-12-29 04:45:00,113100,0.9910498826321957,0.9910498826321957,0.9910498826321957,,,
2023-12-29 04:45:00,110301,0.9970978952368902,0.9970978952368902,0.9970978952368902,,,
2023-12-29 04:45:00,110302,0.9947733092262373,0.9947733092262373,0.9947733092262373,,,
2023-12-29 04:45:00,110400,0.9930290615470202,0.9930290615470202,0.9930290615470202,,,
2023-12-29 04:45:00,110501,0.9981373678079773,0.9981373678079773,0.9981373678079773,,,
2023-12-29 04:45:00,110502,0.9966244517121605,0.9966244517121605,0.9966244517121605,,,
2023-12-29 04:45:00,110701,0.9913394674660538,0.9913394674660538,0.9913394674660538,,,
2023-12-29 04:45:00,110702,0.9939227959393685,0.9939227959393685,0.9939227959393685,,,
2023-12-29 04:45:00,100800,0.9994821173923829,0.9994821173923829,0.9994821173923829,,,
2023-12-29 04:45:00,100900,0.9970904103662588,0.9970904103662588,0.9970904103662588,,,
2023-12-29 04:45:00,0,1.0,1.0,1.0,,,
2023-12-29 05:00:00,101000,0.9953302063011261,0.9953302063011261,0.9976804780936347,,,
2023-12-29 05:00:00,111101,0.9993886905718139,0.9993886905718139,0.9993502679485906,,,
2023-12-29 05:00:00,111102,0.9988727839837074,0.9988727839837074,0.9993502679485906,,,
2023-12-29 05:00:00,111200,0.9946612350692748,0.9946612350692748,0.9969760474464615,,,
2023-12-29 05:00:00,111401,0.9963953916469135,0.9963953916469135,0.9959568992195164,,,
2023-12-29 05:00:00,111402,0.9963953916469135,0.9963953916469135,0.9959568992195164,,,
2023-12-29 05:00:00,101500,0.999737092202504,0.999737092202504,0.9997052510547776,,,
2023-12-29 05:00:00,111600,0.9912445839805089,0.9912445839805089,0.9903051019574143,,,
2023-12-29 05:00:00,101700,0.9995138698597992,0.9995138698597992,0.9999936941288978,,,
2023-12-29 05:00:00,101800,0.9951421856903689,0.9951421856903689,0.9975077307787606,,,
2023-12-29 05:00:00,101901,0.9982740543006606,0.9982740543006606,0.9985844936581542,,,
2023-12-29 05:00:00,101902,0.9966225008199412,0.9966225008199412,0.9982295581967601,,,
2023-12-29 05:00:00,102000,0.9994196918953061,0.9994196918953061,0.999980716581743,,,
2023-12-29 05:00:00,102101,0.9995323172329674,0.9995323172329674,0.9995094181479189,,,
2023-12-29 05:00:00,102102,0.9990164848379144,0.9990164848379144,0.9995094181479189,,,
2023-12-29 05:00:00,112201,0.999184885005233,0.999184885005233,0.999086041937052,,,
2023-12-29 05:00:00,112202,0.9993441418105572,0.9993441418105572,0.9992856518477239,,,
2023-12-29 05:00:00,102300,0.9998159687382957,0.9998159687382957,0.9998147492273046,,,
2023-12-29 05:00:00,112400,0.9915957444802977,0.9915957444802977,0.9906906638636709,,,
2023-12-29 05:00:00,112501,0.9937144739985813,0.9937144739985813,0.9930445021523872,,,
2023-12-29 05:00:00,112502,0.9981466096510018,0.9981466096510018,0.9979504031653029,,,
2023-12-29 05:00:00,112600,0.9995356880777064,0.9995356880777064,0.9994794299851939,,,
