======================================================================================================
                                 LOAD CHARACTERISATION REPORT
Substation ID: 102701
Data Points: 67221
Date Range: 2023-03-08 15:30:00 -> 2025-02-25 10:30:00
======================================================================================================
       load_a  load_b  load_c  calc_load  power_active  power_reactive  power_apparent  err %
0         0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
1         0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
2         0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
3         0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
4         0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
...       ...     ...     ...        ...           ...             ...             ...    ...
67216     0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
67217     0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
67218     0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
67219     0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN
67220     0.0     0.0     0.0        0.0           0.0             0.0             0.0    NaN

[67221 rows x 8 columns]
======================================================================================================
Summary of Spring Apparent Power
    Mean: 0.0, Median: 0.0, Stddev: 0.0

Summary of Summer Apparent Power
    Mean: 0.43, Median: 0.0, Stddev: 0.58

Summary of Autumn Apparent Power
    Mean: 0.0, Median: 0.0, Stddev: 0.0

Summary of Winter Apparent Power
    Mean: 0.0, Median: 0.0, Stddev: 0.0

   year_month          sum      mean       std
0     2023-03     0.000000  0.000000  0.000000
1     2023-04     0.000000  0.000000  0.000000
2     2023-05     0.000000  0.000000  0.000000
3     2023-06     0.000000  0.000000  0.000000
4     2023-07     0.000000  0.000000  0.000000
5     2023-08     0.000000  0.000000  0.000000
6     2023-09     0.000000       NaN       NaN
7     2023-10     0.000000  0.000000  0.000000
8     2023-11     0.000000  0.000000  0.000000
9     2023-12     0.000000  0.000000  0.000000
10    2024-01     0.000000  0.000000  0.000000
11    2024-02     0.000000  0.000000  0.000000
12    2024-03     0.000000  0.000000  0.000000
13    2024-04     0.000000  0.000000  0.000000
14    2024-05     0.000000  0.000000  0.000000
15    2024-06     0.000000  0.000000  0.000000
16    2024-07     0.000000  0.000000  0.000000
17    2024-08     0.000000  0.000000  0.000000
18    2024-09     0.000000  0.000000  0.000000
19    2024-10     0.000000  0.000000  0.000000
20    2024-11     0.000000  0.000000  0.000000
21    2024-12  1528.735732  0.651913  0.513328
22    2025-01  2850.332764  0.958740  0.476467
23    2025-02  2737.559561  1.167403  0.427213
